Timestamp,snack_name,time_of_day,salty_sweet,healthy_level,calories_per_serving,grams_protein,grams_sugar,milligrams_sodium,number_ingredients,why_eating,cost,where_eating,is_school_day
2022/08/31 10:27:26 AM MDT,BLUE DIAMOND ALMONDS BOLD Spicy Dill Pickle,afternoon,Salty,3,260,8,2,190,14,because I like pickles ,$0 to < $1,School,School Day
2022/08/31 10:38:11 AM MDT,Honey Cheerios,night,Sweet,3,210,6,12,340,10,hungry,$0 to < $1,School,School Day
2022/08/31 10:39:40 AM MDT,Rice Krispies Treat,morning,Sweet,2,90,0,8,105,24,I am hungry and this is my lunch tbh </3,$0 to < $1,School,School Day
2022/08/31 10:40:33 AM MDT,non fat plain Greek yogurt ,morning,Sweet,4,90,15,4,65,6,because I think its tasty ,$0 to < $1,Home,School Day
2022/08/31 10:42:08 AM MDT,Vitamin Water: tropical citrus.,morning,Sweet,4,100,0,27,0,16,Delicious,$1 to < $3,School,School Day
2022/08/31 10:42:09 AM MDT,Zbar,morning,Sweet,3,150,2,10,105,14,It's an easy on the go snack ,$1 to < $3,School,School Day
2022/08/31 10:56:04 AM MDT,Stretch Island Fruit Leather,morning,Sweet,3,50,0,10,0,6,I need to eat something before I get to school,$0 to < $1,Other,School Day
2022/08/31 12:12:55 PM MDT,monster energy,morning,Sweet,3,10,0,0,310,21,Insomnia,$1 to < $3,School,School Day
2022/08/31 12:13:54 PM MDT,Good to go bar,morning,Sweet,4,170,6,2,159,12,"Its filling, for when I get hungry before I go to lunch.",$3 to < $7,School,School Day
2022/08/31 12:15:25 PM MDT,hot fudge,night,Sweet,1,130,0,18,50,9,sad,$3 to < $7,Home,School Day
2022/08/31 12:15:28 PM MDT,Sun Chips: Garden Salsa,evening,Salty,1,140,2,2,140,23,I was looking for a snack after a volleyball game and the school had a vending machine with these chips,$1 to < $3,School,School Day
2022/08/31 12:16:02 PM MDT,roasted seaweed snack,afternoon,Salty,5,30,1,0,40,3,Yummy,$0 to < $1,School,School Day
2022/08/31 12:16:30 PM MDT,quaker chewy yogurt granola bar,morning,Sweet,2,140,2,11,11,11,It's my snack for the day and is delicious,$3 to < $7,School,School Day
2022/08/31 12:17:32 PM MDT,Hostess Chocolate Frosted Donettes,morning,Sweet,2,70,4.33333,4.6666667,35,5,It’s good because I was craving it,$1 to < $3,School,School Day
2022/08/31 12:19:35 PM MDT,nutella ,morning,Sweet,1,200,2,21,15,8,Because I'm going to eat a nutella sandwhich,$3 to < $7,Home,School Day
2022/08/31 12:19:37 PM MDT,boomchickapop:  sweet & salty,afternoon,Sweet,4,140,8,8,110,4,I wanted to chew something and that was all I had,$7 or more,School,School Day
2022/08/31 12:19:40 PM MDT,Chocolate Chip Eggo Waffles,morning,Sweet,2,200,4,9,370,14,hungry,$0 to < $1,School,School Day
2022/08/31 12:20:07 PM MDT,nature valley sweet and salty nut granola bar,morning,Sweet,3,170,4,7,140,26,Energy. ,$0 to < $1,School,School Day
2022/08/31 12:22:19 PM MDT,Motts Fruit Snacks,afternoon,Sweet,3,80,0,9,35,18,It was in my lunch,$7 or more,School,School Day
2022/08/31 12:34:27 PM MDT,nature's bakery fig bar,morning,Sweet,3,200,3,19,80,11,breakfast to go,$1 to < $3,School,School Day
2022/08/31 12:34:41 PM MDT,Quaker chewy chocolate chip,morning,Sweet,3,100,1,7,70,16,didn't have time to eat breakfast,$3 to < $7,Home,School Day
2022/08/31 12:35:08 PM MDT,Dunkin Donut Chocolate Butternut Donut,morning,Sweet,1,430,4,32,420,10,sweet and yummy,$0 to < $1,School,School Day
2022/08/31 1:56:47 PM MDT,popcorn,afternoon,Salty,2,150,2,0,150,3,hungry and have no lunch,$1 to < $3,School,School Day
2022/08/31 2:00:31 PM MDT,Takis,afternoon,Salty,1,150,2,1,420,21,Delicious,$1 to < $3,School,School Day
2022/08/31 2:47:27 PM MDT,Takis fuego,afternoon,Salty,1,150,2,1,420,21,Delicious,$1 to < $3,School,School Day
2022/08/31 4:12:38 PM MDT,GoGo Squeez Apple Cinnamon,afternoon,Sweet,4,70,0,13,0,4,hungry,$0 to < $1,School,School Day
2022/08/31 5:12:33 PM MDT,Club & Cheddar Sandwich Crackers,afternoon,Salty,2,250,4,7,400,15,Hungry,$0 to < $1,Other,School Day
2022/09/01 10:10:07 AM MDT,Apple,evening,Sweet,5,95,0.5,19,0,1,an apple a day keeps the doctor away,$0 to < $1,School,School Day
2022/09/01 1:00:13 PM MDT,Fritos,afternoon,Salty,3,160,2,0,170,3,It tastes good.,$0 to < $1,School,School Day
2022/09/01 1:09:24 PM MDT,Reese's Peanut Butter Cup ,morning,Sweet,1,230,4,20,130,6,ms leifield,$0 to < $1,School,School Day
2022/09/01 1:52:16 PM MDT,Fruit Roll-Ups,afternoon,Sweet,1,50,0,7,50,14,lunch,$0 to < $1,School,School Day
2022/09/01 3:14:25 PM MDT,Grapes,afternoon,Sweet,5,104,1.09,23.37,0,1,Delicious,$3 to < $7,School,School Day
2022/09/01 3:42:42 PM MDT,Mini Muffins Chocolate Chip ,afternoon,Sweet,2,180,2,15,135,14,bored,$0 to < $1,School,School Day
2022/09/01 5:08:26 PM MDT,Pomegranate seeds,morning,Sweet,5,28,0.2,1.4,0,1,I was hungry during ids and it was in my lunch.,$3 to < $7,School,School Day
2022/09/01 6:13:22 PM MDT,Salami,morning,Salty,3,110,7,1,440,10,Because I was hungry during APES and it was in my lunch box and its yummy,$3 to < $7,School,School Day
2022/09/01 6:15:06 PM MDT,Kettle Potato Chips: Sea Salt,evening,Salty,2,150,2,0,110,5,Im hungry and I havent had dinner yet,$3 to < $7,Home,School Day
2022/09/01 6:15:40 PM MDT,Salami,evening,Salty,3,110,7,1,440,10,Hungry,$3 to < $7,Home,School Day
2022/09/01 7:09:19 PM MDT,Lays Classic,afternoon,Salty,2,160,2,1,170,3,went well with what i was already eating,$0 to < $1,Home,School Day
2022/09/01 7:47:26 PM MDT,Sourcream Cake,afternoon,Sweet,2,320,4,24,260,19,yummy,$3 to < $7,Home,School Day
2022/09/01 9:16:52 PM MDT,Hello Panda (Bite Size),afternoon,Sweet,2,110,1,6,60,13,an associate was snacking on them ,$0 to < $1,School,School Day
2022/09/01 10:53:15 PM MDT,m&m's minis milk chocolate,night,Sweet,1,240,3,32,40,7,associate had some,$1 to < $3,Public,School Day
2022/09/01 11:14:46 PM MDT,flavor blasted xtra cheddar goldfish crackers,afternoon,Salty,1,120,3,0,220,24,Because I like how cheesy and salty it is even though I know it isn't healthy.,$1 to < $3,School,School Day
2022/09/02 11:35:40 AM MDT,peanut butter kind bar,morning,Sweet,3,200,7,9,20,16,Breakfast,$1 to < $3,Home,Weekend or Holiday
2022/09/02 2:07:58 PM MDT,Strawberries,morning,Sweet,5,49,1,7.4,1.5,1,"juicy, fruity",$3 to < $7,Home,Weekend or Holiday
2022/09/02 2:09:41 PM MDT,salad bowl,afternoon,Salty,4,13,0.8,1.2,21,4,healthy,$3 to < $7,Home,Weekend or Holiday
2022/09/02 3:26:21 PM MDT,KIND Granola Bar,afternoon,Sweet,4,180,3,9,110,7,It is easy to grab from the kitchen for a quick bite.,$1 to < $3,Home,Weekend or Holiday
2022/09/02 3:30:59 PM MDT,organic low fat yogurt squishers ,afternoon,Sweet,4,60,2,9,35,13,It's very hot out and this snack is refreshing,$3 to < $7,Home,Weekend or Holiday
2022/09/02 4:43:48 PM MDT,Chipotle Salad Bowl,afternoon,Salty,3,500,27,3,1260,5,hungry for chipotle,$7 or more,Home,Weekend or Holiday
2022/09/02 7:27:59 PM MDT,Baked cheese crunchies,afternoon,Salty,3,140,2,1,180,5,They are tasty,$1 to < $3,Home,Weekend or Holiday
2022/09/02 7:45:51 PM MDT,FunYuns,evening,Salty,2,110,1,0,210,15,Craving saltiness after school and sports practice,$1 to < $3,Home,School Day
2022/09/02 7:49:15 PM MDT,McDonald’s frozen coke (M),evening,Sweet,2,130,0,35,55,7,Wanted slush-type drink to deal with hot weather,$1 to < $3,Home,Weekend or Holiday
2022/09/02 8:02:24 PM MDT,Private Selection Lemon Sorbet,afternoon,Sweet,2,170,0,44,0,6,Refreshing on hot day,$1 to < $3,Other Person's Home,Weekend or Holiday
2022/09/03 1:18:32 PM MDT,Lemon-Lime Gatorade,afternoon,Sweet,3,80,0,21,160,10,thirsty,$1 to < $3,Home,Weekend or Holiday
2022/09/03 1:20:11 PM MDT,Honeycrisp Apple,night,Sweet,4,97.8,0.5,19,1.8,1,Hungry,$1 to < $3,Home,Weekend or Holiday
2022/09/03 1:21:33 PM MDT,Lays Potato Chips: Lightly Salted,night,Salty,2,250,2,0.5,65,5,Hungry,$3 to < $7,Home,Weekend or Holiday
2022/09/03 1:24:01 PM MDT,Cookies,afternoon,Sweet,1,130,1,11,90,20,My sister made them for me,$7 or more,Home,Weekend or Holiday
2022/09/03 3:32:54 PM MDT,Ruffles,night,Salty,1,150,2,1,170,3,Because they are good,$1 to < $3,Home,Weekend or Holiday
2022/09/03 3:48:10 PM MDT,Strawberries with cream,afternoon,Sweet,2,225,3.3,16,119,5,Its good,$3 to < $7,Public,School Day
2022/09/03 3:53:22 PM MDT,Watermelon,afternoon,Sweet,4,85,1.7,17,3,1,Hungry,$0 to < $1,Home,Weekend or Holiday
2022/09/03 5:36:23 PM MDT,Check Mix,afternoon,Salty,3,130,2,2,250,20,I was hungry for it ,$1 to < $3,Home,Weekend or Holiday
2022/09/03 6:58:08 PM MDT,Skinny Pop,afternoon,Salty,3,100,7,0,50,3,I was hungry but didn't want to eat a big meal ,$3 to < $7,Home,Weekend or Holiday
2022/09/03 6:59:56 PM MDT,Organic Apple Blueberry Fruit Wrap ,afternoon,Sweet,3,45,0,10,0,6,I was craving something sweet,$1 to < $3,Home,Weekend or Holiday
2022/09/03 9:11:10 PM MDT,everything bagel with cream cheese,afternoon,Sweet,3,370,11,7,535,40,didn't have a proper lunch at school,$1 to < $3,Public,School Day
2022/09/03 9:43:37 PM MDT,ACT Kettle Corn,morning,Salty,2,150,2,0,170,3,Delicious,$1 to < $3,Home,Weekend or Holiday
2022/09/03 9:45:49 PM MDT,Barbecue Lays,night,Salty,1,150,2,2,200,20,Delicious ,$1 to < $3,Home,Weekend or Holiday
2022/09/03 9:47:06 PM MDT,Stawberries,night,Sweet,5,32,0.7,4.9,0,1,Delicious,$3 to < $7,Home,Weekend or Holiday
2022/09/04 11:41:59 AM MDT,Dark Chocolate Covered Caramel,afternoon,Sweet,2,180,2,19,50,7,I wanted something sweet,$1 to < $3,Home,Weekend or Holiday
2022/09/04 11:45:16 AM MDT,Trader joes corn chips,evening,Salty,2,160,2,0,125,3,slightly hungry but not enough for a meal,$3 to < $7,Home,Weekend or Holiday
2022/09/04 1:06:37 PM MDT,Ridge Cut Potato Chips with Sea Salt,afternoon,Salty,2,150,2,0,75,3,It's an easy snack to pour into a bowl and share.,$3 to < $7,Home,Weekend or Holiday
2022/09/04 6:48:00 PM MDT,Blueberries,morning,Sweet,4,80,1.1,15,1.45,1,Hungry,$3 to < $7,Home,Weekend or Holiday
2022/09/04 6:52:56 PM MDT,Starbucks Pumpkin Bread,afternoon,Salty,2,390,6,38,480,20,Hungry,$1 to < $3,Public,Weekend or Holiday
2022/09/04 9:36:56 PM MDT,vanilla sandwich ice cream,afternoon,Sweet,2,130,2,11,120,20,there was a 2 for 1 sale ,$0 to < $1,School,School Day
2022/09/04 11:50:09 PM MDT,cheez-its ,night,Salty,3,140,3,0,210,5,because it is great ,$1 to < $3,Other Person's Home,Weekend or Holiday
2022/09/05 1:52:07 AM MDT,watermelon,afternoon,Sweet,5,46,0.9,9.5,1.5,1,Because my grandma cut it up,$3 to < $7,Home,Weekend or Holiday
2022/09/05 2:05:16 PM MDT,Reese's take 5 ,evening,Sweet,2,210,3,18,210,27,I bought it and wanted to try it ,$0 to < $1,Public,Weekend or Holiday
2022/09/05 2:14:07 PM MDT,Trader Joe's Sublime Ice Cream Sandwiches,night,Sweet,1,370,5,34,150,12,Midnight snack,$3 to < $7,Home,Weekend or Holiday
2022/09/05 3:24:47 PM MDT,Pirate's Booty Aged White Cheddar Rice & Corn Puffs,afternoon,Salty,4,70,1,1,95,11,hungry,$0 to < $1,Home,Weekend or Holiday
2022/09/05 4:19:34 PM MDT,jagarico,evening,Salty,2,140,2,0,130,16,i like it,$3 to < $7,Other Person's Home,Weekend or Holiday
2022/09/05 4:22:14 PM MDT,cotton candy grapes,morning,Sweet,5,50,0.6,14,0,1,i like them and they're healthy,$7 or more,Home,Weekend or Holiday
2022/09/05 4:28:41 PM MDT,brown rice w/ soy sauce,afternoon,Salty,3,190,4,1,55,6,it tastes good and is filling,$3 to < $7,Home,Weekend or Holiday
2022/09/05 4:31:09 PM MDT,cucumber,afternoon,Salty,5,30,3,1.7,2.8,1,i like cucumbers,$1 to < $3,Home,Weekend or Holiday
2022/09/05 4:33:22 PM MDT,popcorn,evening,Salty,2,150,3,3,210,6,i like popcorn and i was hungry,$1 to < $3,Other Person's Home,Weekend or Holiday
2022/09/05 4:35:40 PM MDT,chicken ramen,evening,Salty,3,180,8,1,810,10,i was hungry and had time to make it,$3 to < $7,Home,Weekend or Holiday
2022/09/05 5:20:13 PM MDT,Rice Krispies Treats,afternoon,Sweet,3,90,0,8,105,6,It tastes good.,$1 to < $3,School,School Day
2022/09/05 5:24:31 PM MDT,Pop Secret Movie Theater Butter Popcorn,afternoon,Salty,2,30,0,0,65,9,I like popcorn.,$1 to < $3,Home,School Day
2022/09/05 5:26:39 PM MDT,Flamin' Hot Limon Cheetos,afternoon,Salty,1,170,1,0,260,3,Cause it's tasty.,$1 to < $3,Home,Weekend or Holiday
2022/09/05 6:18:34 PM MDT,Cheeto Puffs,afternoon,Salty,2,140,2,1,230,8,I was hungry.,$0 to < $1,Home,Weekend or Holiday
2022/09/05 8:39:33 PM MDT,haribo sour streamers,evening,Sweet,1,120,0,18,60,12,I wanted candy.,$3 to < $7,Public,Weekend or Holiday
2022/09/05 8:43:24 PM MDT,watermelon,morning,Sweet,4,85,0,17,0,1,It is very hot and cold watermelon is the cure.,$7 or more,Home,Weekend or Holiday
2022/09/05 9:10:16 PM MDT,White cheddar popcorn,afternoon,Salty,2,150,3,3,210,8,It was lunch time but I didn't feel like a full meal.,$3 to < $7,Home,Weekend or Holiday
2022/09/05 9:17:14 PM MDT,Tuna onigiri,afternoon,Salty,4,0,0,0,0,18,It was lunch time but I didn't feel like a full meal.(ps. the g/mg/etc.. say 0 because I don't know.),$1 to < $3,Home,Weekend or Holiday
2022/09/07 2:15:08 PM MDT,grapes,afternoon,Sweet,4,62,0.6,15,2,1,mom packed it in my lunch and she gets mad when i don't eat my fruit ,$0 to < $1,School,School Day
2022/09/07 9:40:01 PM MDT,z bar,afternoon,Sweet,3,130,5,9,80,14,i was hungry and did not have anything else in my lunch,$1 to < $3,School,School Day
2022/09/08 12:55:39 AM MDT,Flipz Choc. Pretzels,afternoon,Salty,2,140,2,12,100,16,I love FLIPZ!!!!!!,$3 to < $7,Home,School Day
2022/09/08 10:26:20 AM MDT,Trader Joe's Chocolatey Coated Chocolate Chip Dunkers,night,Sweet,1,190,2,14,80,26,hungry,$7 or more,Home,Weekend or Holiday
2022/09/08 10:27:12 AM MDT,Trader Joe's Chocolatey Coated Chocolate Chip Dunkers,night,Sweet,1,190,2,14,80,26,hungry,$7 or more,Home,School Day
2022/09/08 10:38:11 AM MDT,Trader Joe’s Ode to the Classic Potato Chip,night,Salty,1,160,1,1,160,3,hungry,$1 to < $3,Home,School Day
2022/09/10 1:30:33 AM MDT,Oreos,afternoon,Sweet,1,160,1,14,135,17,Wanted something chocolate,$3 to < $7,Home,School Day
2022/09/10 1:31:36 AM MDT,Oreos,evening,Sweet,1,160,1,14,135,17,Sweet,$3 to < $7,Home,Weekend or Holiday
2022/09/10 1:34:54 AM MDT,Biscoff,afternoon,Sweet,1,150,2,12,115,12,Quick snack,$1 to < $3,School,School Day
2022/09/10 1:37:50 AM MDT,Mcdonalds Fries,evening,Salty,1,480,7,0,400,11,Salty/crispy,$0 to < $1,Public,School Day
2022/09/10 1:40:11 AM MDT,Frosted Flakes,night,Sweet,1,130,2,12,190,12,craved frosted flakes,$3 to < $7,Home,Weekend or Holiday
2022/09/12 11:43:30 AM MDT,a&w root beer,night,Sweet,1,160,0,0,65,9,delicious,$1 to < $3,Home,Weekend or Holiday
2022/09/12 11:45:01 AM MDT,Grapes,morning,Sweet,5,104,1,23.37,0,1,delicious,$3 to < $7,School,School Day
2022/09/12 12:25:52 PM MDT,Fruit Roll,morning,Sweet,1,80,0,10,5,13,hungry,$1 to < $3,School,School Day
2022/09/12 12:39:44 PM MDT,Apple Wildberry fruit wrap,morning,Sweet,3,45,0,10,0,7,Hungry ,$0 to < $1,School,School Day
2022/09/12 2:02:55 PM MDT,Donut,afternoon,Sweet,1,200,2.15,10,184,10,hungry,$1 to < $3,Home,Weekend or Holiday